,pokemon_number,name,german_name,japanese_name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
10,8,Wartortle,Schillok,ã‚«ãƒ¡ãƒ¼ãƒ« (Kameil),1,Normal,Turtle PokÃ©mon,1,Water,,1,22.5,2,Torrent,,Rain Dish,405,59,63,80,65,80,58,45,70,142,Medium Slow,2,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
11,9,Blastoise,Turtok,ã‚«ãƒ¡ãƒƒã‚¯ã‚¹ (Kamex),1,Normal,Shellfish PokÃ©mon,1,Water,,1.6,85.5,2,Torrent,,Rain Dish,530,79,83,100,85,105,78,45,70,239,Medium Slow,2,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
12,9,Mega Blastoise,Turtok,ã‚«ãƒ¡ãƒƒã‚¯ã‚¹ (Kamex),1,Normal,Shellfish PokÃ©mon,1,Water,,1.6,101.1,1,Mega Launcher,,,630,79,103,120,135,115,78,45,70,284,Medium Slow,2,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
13,10,Caterpie,Raupy,ã‚­ãƒ£ã‚¿ãƒ”ãƒ¼ (Caterpie),1,Normal,Worm PokÃ©mon,1,Bug,,0.3,2.9,2,Shield Dust,,Run Away,195,45,30,35,20,20,45,255,70,39,Medium Fast,1,Bug,,50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
14,11,Metapod,Safcon,ãƒˆãƒ©ãƒ³ã‚»ãƒ« (Transel),1,Normal,Cocoon PokÃ©mon,1,Bug,,0.7,9.9,1,Shed Skin,,,205,50,20,55,25,25,30,120,70,72,Medium Fast,1,Bug,,50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
15,12,Butterfree,Smettbo,ãƒã‚¿ãƒ•ãƒªãƒ¼ (Butterfree),1,Normal,Butterfly PokÃ©mon,2,Bug,Flying,1.1,32,2,Compound Eyes,,Tinted Lens,395,60,45,50,90,80,70,45,70,178,Medium Fast,1,Bug,,50,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
16,13,Weedle,Hornliu,ãƒ“ãƒ¼ãƒ‰ãƒ« (Beedle),1,Normal,Hairy Bug PokÃ©mon,2,Bug,Poison,0.3,3.2,2,Shield Dust,,Run Away,195,40,35,30,20,20,50,255,70,39,Medium Fast,1,Bug,,50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
17,14,Kakuna,Kokuna,ã‚³ã‚¯ãƒ¼ãƒ³ (Cocoon),1,Normal,Cocoon PokÃ©mon,2,Bug,Poison,0.6,10,1,Shed Skin,,,205,45,25,50,25,25,35,120,70,72,Medium Fast,1,Bug,,50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
18,15,Beedrill,Bibor,ã‚¹ãƒ”ã‚¢ãƒ¼ (Spear),1,Normal,Poison Bee PokÃ©mon,2,Bug,Poison,1,29.5,2,Swarm,,Sniper,395,65,90,40,45,80,75,45,70,178,Medium Fast,1,Bug,,50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
19,15,Mega Beedrill,Bibor,ã‚¹ãƒ”ã‚¢ãƒ¼ (Spear),1,Normal,Poison Bee PokÃ©mon,2,Bug,Poison,1.4,40.5,1,Adaptability,,,495,65,150,40,15,80,145,45,70,223,Medium Fast,1,Bug,,50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
20,16,Pidgey,Taubsi,ãƒãƒƒãƒ (Poppo),1,Normal,Tiny Bird PokÃ©mon,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56,255,70,50,Medium Slow,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
21,17,Pidgeotto,Tauboga,ãƒ”ã‚¸ãƒ§ãƒ³ (Pigeon),1,Normal,Bird PokÃ©mon,2,Normal,Flying,1.1,30,3,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71,120,70,122,Medium Slow,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
22,18,Pidgeot,Tauboss,ãƒ”ã‚¸ãƒ§ãƒƒãƒˆ (Pigeot),1,Normal,Bird PokÃ©mon,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101,45,70,216,Medium Slow,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
23,18,Mega Pidgeot,Tauboss,ãƒ”ã‚¸ãƒ§ãƒƒãƒˆ (Pigeot),1,Normal,Bird PokÃ©mon,2,Normal,Flying,2.2,50.5,1,No Guard,,,579,83,80,80,135,80,121,45,70,261,Medium Slow,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
24,19,Rattata,Rattfratz,ã‚³ãƒ©ãƒƒã‚¿ (Koratta),1,Normal,Mouse PokÃ©mon,1,Normal,,0.3,3.5,3,Run Away,Guts,Hustle,253,30,56,35,25,35,72,255,70,51,Medium Fast,1,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
25,19,Alolan Rattata,Rattfratz,ã‚³ãƒ©ãƒƒã‚¿ (Koratta),1,Normal,Mouse PokÃ©mon,2,Dark,Normal,0.3,3.8,3,Gluttony,Hustle,Thick Fat,253,30,56,35,25,35,72,255,70,51,Medium Fast,1,Field,,50,15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
26,20,Raticate,Rattikarl,ãƒ©ãƒƒã‚¿ (Ratta),1,Normal,Mouse PokÃ©mon,1,Normal,,0.7,18.5,3,Run Away,Guts,Hustle,413,55,81,60,50,70,97,127,70,145,Medium Fast,1,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
27,20,Alolan Raticate,Rattikarl,ãƒ©ãƒƒã‚¿ (Ratta),1,Normal,Mouse PokÃ©mon,2,Dark,Normal,0.7,25.5,3,Gluttony,Hustle,Thick Fat,413,75,71,70,40,80,77,127,70,145,Medium Fast,1,Field,,50,15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
28,21,Spearow,Habitak,ã‚ªãƒ‹ã‚¹ã‚ºãƒ¡ (Onisuzume),1,Normal,Tiny Bird PokÃ©mon,2,Normal,Flying,0.3,2,2,Keen Eye,,Sniper,262,40,60,30,31,31,70,255,70,52,Medium Fast,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
29,22,Fearow,Ibitak,ã‚ªãƒ‹ãƒ‰ãƒªãƒ« (Onidrill),1,Normal,Beak PokÃ©mon,2,Normal,Flying,1.2,38,2,Keen Eye,,Sniper,442,65,90,65,61,61,100,90,70,155,Medium Fast,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
30,23,Ekans,Rettan,ã‚¢ãƒ¼ãƒœ (Arbo),1,Normal,Snake PokÃ©mon,1,Poison,,2,6.9,3,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55,255,70,58,Medium Fast,2,Dragon,Field,50,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
31,24,Arbok,Arbok,ã‚¢ãƒ¼ãƒœãƒƒã‚¯ (Arbok),1,Normal,Cobra PokÃ©mon,1,Poison,,3.5,65,3,Intimidate,Shed Skin,Unnerve,448,60,95,69,65,79,80,90,70,157,Medium Fast,2,Dragon,Field,50,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
32,25,Pikachu,Pikachu,ãƒ”ã‚«ãƒãƒ¥ã‚¦ (Pikachu),1,Normal,Mouse PokÃ©mon,1,Electric,,0.4,6,2,Static,,Lightning Rod,320,35,55,40,50,50,90,190,70,112,Medium Fast,2,Fairy,Field,50,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
33,25,Partner Pikachu,Pikachu,ãƒ”ã‚«ãƒãƒ¥ã‚¦ (Pikachu),1,Normal,Mouse PokÃ©mon,1,Electric,,0.4,6,1,,,Lightning Rod,430,45,80,50,75,60,120,190,70,112,Medium Fast,0,,,50,10,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
34,26,Raichu,Raichu,ãƒ©ã‚¤ãƒãƒ¥ã‚¦ (Raichu),1,Normal,Mouse PokÃ©mon,1,Electric,,0.8,30,2,Static,,Lightning Rod,485,60,90,55,90,80,110,75,70,218,Medium Fast,2,Fairy,Field,50,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
35,26,Alolan Raichu,Raichu,ãƒ©ã‚¤ãƒãƒ¥ã‚¦ (Raichu),1,Normal,Mouse PokÃ©mon,2,Electric,Psychic,0.7,21,1,Surge Surfer,,,485,60,85,50,95,85,110,75,70,218,Medium Fast,2,Fairy,Field,50,10,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
36,27,Sandshrew,Sandan,ã‚µãƒ³ãƒ‰ (Sand),1,Normal,Mouse PokÃ©mon,1,Ground,,0.6,12,2,Sand Veil,,Sand Rush,300,50,75,85,20,30,40,255,70,60,Medium Fast,1,Field,,50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
37,27,Alolan Sandshrew,Sandan,ã‚µãƒ³ãƒ‰ (Sand),1,Normal,Mouse PokÃ©mon,2,Ice,Steel,0.7,40,2,Snow Cloak,,Slush Rush,300,50,75,90,10,35,40,255,70,60,Medium Fast,1,Field,,50,20,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5
38,28,Sandslash,Sandamer,ã‚µãƒ³ãƒ‰ãƒ‘ãƒ³ (Sandpan),1,Normal,Mouse PokÃ©mon,1,Ground,,1,29.5,2,Sand Veil,,Sand Rush,450,75,100,110,45,55,65,90,70,158,Medium Fast,1,Field,,50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
39,28,Alolan Sandslash,Sandamer,ã‚µãƒ³ãƒ‰ãƒ‘ãƒ³ (Sandpan),1,Normal,Mouse PokÃ©mon,2,Ice,Steel,1.2,55,2,Snow Cloak,,Slush Rush,450,75,100,120,25,65,65,90,70,158,Medium Fast,1,Field,,50,20,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5
40,29,Nidoranâ™€,Nidoranâ™€,ãƒ‹ãƒ‰ãƒ©ãƒ³â™€ (Nidoranâ™€),1,Normal,Poison Pin PokÃ©mon,1,Poison,,0.4,7,3,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41,235,70,55,Medium Slow,2,Field,Monster,0,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
41,30,Nidorina,Nidorina,ãƒ‹ãƒ‰ãƒªãƒ¼ãƒŠ (Nidorina),1,Normal,Poison Pin PokÃ©mon,1,Poison,,0.8,20,3,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56,120,70,128,Medium Slow,1,Undiscovered,,0,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
42,31,Nidoqueen,Nidoqueen,ãƒ‹ãƒ‰ã‚¯ã‚¤ãƒ³ (Nidoqueen),1,Normal,Drill PokÃ©mon,2,Poison,Ground,1.3,60,3,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76,45,70,227,Medium Slow,1,Undiscovered,,0,20,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
43,32,Nidoranâ™‚,Nidoranâ™‚,ãƒ‹ãƒ‰ãƒ©ãƒ³â™‚ (Nidoranâ™‚),1,Normal,Poison Pin PokÃ©mon,1,Poison,,0.5,9,3,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50,235,70,55,Medium Slow,2,Field,Monster,100,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
44,33,Nidorino,Nidorino,ãƒ‹ãƒ‰ãƒªãƒ¼ãƒŽ (Nidorino),1,Normal,Poison Pin PokÃ©mon,1,Poison,,0.9,19.5,3,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65,120,70,128,Medium Slow,2,Field,Monster,100,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
45,34,Nidoking,Nidoking,ãƒ‹ãƒ‰ã‚­ãƒ³ã‚° (Nidoking),1,Normal,Drill PokÃ©mon,2,Poison,Ground,1.4,62,3,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85,45,70,227,Medium Slow,2,Field,Monster,100,20,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
46,35,Clefairy,Piepi,ãƒ”ãƒƒãƒ” (Pippi),1,Normal,Fairy PokÃ©mon,1,Fairy,,0.6,7.5,3,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,60,65,35,150,140,113,Fast,1,Fairy,,25,10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
47,36,Clefable,Pixi,ãƒ”ã‚¯ã‚·ãƒ¼ (Pixy),1,Normal,Fairy PokÃ©mon,1,Fairy,,1.3,40,3,Cute Charm,Magic Guard,Unaware,483,95,70,73,95,90,60,25,140,217,Fast,1,Fairy,,25,10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
48,37,Vulpix,Vulpix,ãƒ­ã‚³ãƒ³ (Rokon),1,Normal,Fox PokÃ©mon,1,Fire,,0.6,9.9,2,Flash Fire,,Drought,299,38,41,40,50,65,65,190,70,60,Medium Fast,1,Field,,25,20,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
49,37,Alolan Vulpix,Vulpix,ãƒ­ã‚³ãƒ³ (Rokon),1,Normal,Fox PokÃ©mon,1,Ice,,0.6,9.9,2,Snow Cloak,,Snow Warning,299,38,41,40,50,65,65,190,70,60,Medium Fast,1,Field,,25,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
50,38,Ninetales,Vulnona,ã‚­ãƒ¥ã‚¦ã‚³ãƒ³ (Kyukon),1,Normal,Fox PokÃ©mon,1,Fire,,1.1,19.9,2,Flash Fire,,Drought,505,73,76,75,81,100,100,75,70,177,Medium Fast,1,Field,,25,20,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
51,38,Alolan Ninetales,Vulnona,ã‚­ãƒ¥ã‚¦ã‚³ãƒ³ (Kyukon),1,Normal,Fox PokÃ©mon,2,Ice,Fairy,1.1,19.9,2,Snow Cloak,,Snow Warning,505,73,67,75,81,100,109,75,70,177,Medium Fast,1,Field,,25,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
52,39,Jigglypuff,Pummeluff,ãƒ—ãƒªãƒ³ (Purin),1,Normal,Balloon PokÃ©mon,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,270,115,45,20,45,25,20,170,70,95,Fast,1,Fairy,,25,10,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
53,40,Wigglytuff,Knuddeluff,ãƒ—ã‚¯ãƒªãƒ³ (Pukurin),1,Normal,Balloon PokÃ©mon,2,Normal,Fairy,1,12,3,Cute Charm,Competitive,Frisk,435,140,70,45,85,50,45,50,70,196,Fast,1,Fairy,,25,10,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
54,41,Zubat,Zubat,ã‚ºãƒãƒƒãƒˆ (Zubat),1,Normal,Bat PokÃ©mon,2,Poison,Flying,0.8,7.5,2,Inner Focus,,Infiltrator,245,40,45,35,30,40,55,255,70,49,Medium Fast,1,Flying,,50,15,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
55,42,Golbat,Golbat,ã‚´ãƒ«ãƒãƒƒãƒˆ (Golbat),1,Normal,Bat PokÃ©mon,2,Poison,Flying,1.6,55,2,Inner Focus,,Infiltrator,455,75,80,70,65,75,90,90,70,159,Medium Fast,1,Flying,,50,15,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
56,43,Oddish,Myrapla,ãƒŠã‚¾ãƒŽã‚¯ã‚µ (Nazonokusa),1,Normal,Weed PokÃ©mon,2,Grass,Poison,0.5,5.4,2,Chlorophyll,,Run Away,320,45,50,55,75,65,30,255,70,64,Medium Slow,1,Grass,,50,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
57,44,Gloom,Duflor,ã‚¯ã‚µã‚¤ãƒãƒŠ (Kusaihana),1,Normal,Weed PokÃ©mon,2,Grass,Poison,0.8,8.6,2,Chlorophyll,,Stench,395,60,65,70,85,75,40,120,70,138,Medium Slow,1,Grass,,50,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
58,45,Vileplume,Giflor,ãƒ©ãƒ•ãƒ¬ã‚·ã‚¢ (Ruffresia),1,Normal,Flower PokÃ©mon,2,Grass,Poison,1.2,18.6,2,Chlorophyll,,Effect Spore,490,75,80,85,110,90,50,45,70,221,Medium Slow,1,Grass,,50,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
59,46,Paras,Paras,ãƒ‘ãƒ©ã‚¹ (Paras),1,Normal,Mushroom PokÃ©mon,2,Bug,Grass,0.3,5.4,3,Effect Spore,Dry Skin,Damp,285,35,70,55,45,55,25,190,70,57,Medium Fast,2,Bug,Grass,50,20,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
60,47,Parasect,Parasek,ãƒ‘ãƒ©ã‚»ã‚¯ãƒˆ (Parasect),1,Normal,Mushroom PokÃ©mon,2,Bug,Grass,1,29.5,3,Effect Spore,Dry Skin,Damp,405,60,95,80,60,80,30,75,70,142,Medium Fast,2,Bug,Grass,50,20,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
61,48,Venonat,Bluzuk,ã‚³ãƒ³ãƒ‘ãƒ³ (Kongpang),1,Normal,Insect PokÃ©mon,2,Bug,Poison,1,30,3,Compound Eyes,Tinted Lens,Run Away,305,60,55,50,40,55,45,190,70,61,Medium Fast,1,Bug,,50,20,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
62,49,Venomoth,Omot,ãƒ¢ãƒ«ãƒ•ã‚©ãƒ³ (Morphon),1,Normal,Poison Moth PokÃ©mon,2,Bug,Poison,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,450,70,65,60,90,75,90,75,70,158,Medium Fast,1,Bug,,50,20,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
63,50,Diglett,Digda,ãƒ‡ã‚£ã‚°ãƒ€ (Digda),1,Normal,Mole PokÃ©mon,1,Ground,,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,265,10,55,25,35,45,95,255,70,53,Medium Fast,1,Field,,50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
64,50,Alolan Diglett,Digda,ãƒ‡ã‚£ã‚°ãƒ€ (Digda),1,Normal,Mole PokÃ©mon,2,Ground,Steel,0.2,1,3,Sand Veil,Tangling Hair,Sand Force,265,10,55,30,35,45,90,255,70,53,Medium Fast,1,Field,,50,20,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
65,51,Dugtrio,Digdri,ãƒ€ã‚°ãƒˆãƒªã‚ª (Dugtrio),1,Normal,Mole PokÃ©mon,1,Ground,,0.7,33.3,3,Sand Veil,Arena Trap,Sand Force,425,35,100,50,50,70,120,50,70,149,Medium Fast,1,Field,,50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
66,51,Alolan Dugtrio,Digdri,ãƒ€ã‚°ãƒˆãƒªã‚ª (Dugtrio),1,Normal,Mole PokÃ©mon,2,Ground,Steel,0.7,66.6,3,Sand Veil,Tangling Hair,Sand Force,425,35,100,60,50,70,110,50,70,149,Medium Fast,1,Field,,50,20,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
67,52,Meowth,Mauzi,ãƒ‹ãƒ£ãƒ¼ã‚¹ (Nyarth),1,Normal,Scratch Cat PokÃ©mon,1,Normal,,0.4,4.2,3,Pickup,Technician,Unnerve,290,40,45,35,40,40,90,255,70,58,Medium Fast,1,Field,,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
68,52,Alolan Meowth,Mauzi,ãƒ‹ãƒ£ãƒ¼ã‚¹ (Nyarth),1,Normal,Scratch Cat PokÃ©mon,1,Dark,,0.4,4.2,3,Pickup,Technician,Rattled,290,40,35,35,50,40,90,255,70,58,Medium Fast,1,Field,,50,20,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
69,52,Galarian Meowth,Mauzi,ãƒ‹ãƒ£ãƒ¼ã‚¹ (Nyarth),1,Normal,Scratch Cat PokÃ©mon,1,Steel,,0.4,7.5,3,Pickup,Tough Claws,Unnerve,290,50,65,55,40,40,40,,,,Medium Fast,1,Field,,,20,0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5
70,53,Persian,Snobilikat,ãƒšãƒ«ã‚·ã‚¢ãƒ³ (Persian),1,Normal,Classy Cat PokÃ©mon,1,Normal,,1,32,3,Limber,Technician,Unnerve,440,65,70,60,65,65,115,90,70,154,Medium Fast,1,Field,,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
71,53,Alolan Persian,Snobilikat,ãƒšãƒ«ã‚·ã‚¢ãƒ³ (Persian),1,Normal,Classy Cat PokÃ©mon,1,Dark,,1.1,33,3,Fur Coat,Technician,Rattled,440,65,60,60,75,65,115,90,70,154,Medium Fast,1,Field,,50,20,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
72,54,Psyduck,Enton,ã‚³ãƒ€ãƒƒã‚¯ (Koduck),1,Normal,Duck PokÃ©mon,1,Water,,0.8,19.6,3,Damp,Cloud Nine,Swift Swim,320,50,52,48,65,50,55,190,70,64,Medium Fast,2,Field,Water 1,50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
